,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.156401068        0.101100405        0.266180093},{    0.154650661        0.099535786        0.262265235},{    0.201946756        0.103866465        0.247623479},{    0.199157412        0.102157417        0.244063580}
,{    0.155854507        0.101003129        0.266381817},{    0.154116397        0.099442173        0.262463360},{    0.201677449        0.103881502        0.247743745},{    0.198894280        0.102172363        0.244181432}
,{    0.155308063        0.100904351        0.266583012},{    0.153582240        0.099347103        0.262660972},{    0.201408068        0.103896159        0.247863912},{    0.198631074        0.102186942        0.244299189}
,{    0.154761741        0.100804072        0.266783677},{    0.153048195        0.099250577        0.262858071},{    0.201138612        0.103910437        0.247983980},{    0.198367797        0.102201153        0.244416850}
,{    0.154215546        0.100702293        0.266983811},{    0.152514268        0.099152597        0.263054656},{    0.200869083        0.103924336        0.248103948},{    0.198104447        0.102214996        0.244534415}
,{    0.153669482        0.100599017        0.267183412},{    0.151980462        0.099053162        0.263250725},{    0.200599482        0.103937856        0.248223817},{    0.197841027        0.102228471        0.244651883}
,{    0.153123556        0.100494242        0.267382479},{    0.151446783        0.098952275        0.263446277},{    0.200329808        0.103950996        0.248343587},{    0.197577536        0.102241578        0.244769254}
,{    0.152577771        0.100387971        0.267581010},{    0.150913236        0.098849936        0.263641311},{    0.200060062        0.103963757        0.248463256},{    0.197313976        0.102254317        0.244886529}
,{    0.152032134        0.100280206        0.267779004},{    0.150379825        0.098746147        0.263835824},{    0.199790245        0.103976139        0.248582826},{    0.197050346        0.102266688        0.245003707}
,{    0.151486648        0.100170946        0.267976459},{    0.149846555        0.098640907        0.264029817},{    0.199520357        0.103988140        0.248702295},{    0.196786647        0.102278691        0.245120788}
,{    0.150941320        0.100060193        0.268173375},{    0.149313431        0.098534219        0.264223287},{    0.199250400        0.103999762        0.248821664},{    0.196522880        0.102290326        0.245237771}
,{    0.150396153        0.099947948        0.268369750},{    0.148780458        0.098426084        0.264416233},{    0.198980373        0.104011005        0.248940931},{    0.196259046        0.102301593        0.245354657}
,{    0.149851154        0.099834213        0.268565582},{    0.148247640        0.098316503        0.264608653},{    0.198710278        0.104021867        0.249060098},{    0.195995144        0.102312491        0.245471444}
,{    0.149306326        0.099718989        0.268760870},{    0.147714983        0.098205476        0.264800548},{    0.198440114        0.104032350        0.249179164},{    0.195731176        0.102323020        0.245588134}
,{    0.148761676        0.099602277        0.268955613},{    0.147182491        0.098093006        0.264991914},{    0.198169883        0.104042452        0.249298128},{    0.195467142        0.102333182        0.245704726}
,{    0.148217208        0.099484078        0.269149810},{    0.146650169        0.097979093        0.265182752},{    0.197899585        0.104052175        0.249416991},{    0.195203043        0.102342974        0.245821219}
,{    0.147672926        0.099364394        0.269343458},{    0.146118022        0.097863738        0.265373059},{    0.197629221        0.104061518        0.249535752},{    0.194938879        0.102352398        0.245937614}
,{    0.147128837        0.099243225        0.269536557},{    0.145586055        0.097746944        0.265562834},{    0.197358791        0.104070480        0.249654411},{    0.194674651        0.102361454        0.246053909}
,{    0.146584945        0.099120574        0.269729105},{    0.145054271        0.097628710        0.265752076},{    0.197088295        0.104079063        0.249772968},{    0.194410360        0.102370141        0.246170106}
,{    0.146041255        0.098996442        0.269921102},{    0.144522677        0.097509039        0.265940784},{    0.196817736        0.104087265        0.249891422},{    0.194146005        0.102378459        0.246286203}
,{    0.145497773        0.098870829        0.270112545},{    0.143991277        0.097387931        0.266128956},{    0.196547112        0.104095087        0.250009773},{    0.193881588        0.102386408        0.246402201}
,{    0.144954502        0.098743738        0.270303433},{    0.143460076        0.097265388        0.266316592},{    0.196276425        0.104102528        0.250128022},{    0.193617109        0.102393988        0.246518100}
,{    0.144411448        0.098615170        0.270493766},{    0.142929078        0.097141412        0.266503689},{    0.196005675        0.104109589        0.250246168},{    0.193352568        0.102401200        0.246633898}
,{    0.143868617        0.098485126        0.270683541},{    0.142398289        0.097016004        0.266690247},{    0.195734863        0.104116270        0.250364210},{    0.193087967        0.102408042        0.246749597}
,{    0.143326012        0.098353608        0.270872758},{    0.141867713        0.096889164        0.266876264},{    0.195463989        0.104122570        0.250482149},{    0.192823306        0.102414516        0.246865195}
,{    0.142783639        0.098220617        0.271061415},{    0.141337354        0.096760895        0.267061740},{    0.195193055        0.104128489        0.250599984},{    0.192558586        0.102420620        0.246980692}
,{    0.142241504        0.098086155        0.271249511},{    0.140807219        0.096631198        0.267246672},{    0.194922060        0.104134028        0.250717715},{    0.192293806        0.102426355        0.247096089}
,{    0.141699610        0.097950223        0.271437044},{    0.140277310        0.096500074        0.267431060},{    0.194651006        0.104139186        0.250835343},{    0.192028968        0.102431721        0.247211385}
,{    0.141157963        0.097812823        0.271624014},{    0.139747634        0.096367525        0.267614902},{    0.194379892        0.104143964        0.250952865},{    0.191764072        0.102436718        0.247326581}
,{    0.140616569        0.097673956        0.271810418},{    0.139218195        0.096233552        0.267798197},{    0.194108720        0.104148360        0.251070284},{    0.191499119        0.102441346        0.247441674}
,{    0.140075431        0.097533625        0.271996257},{    0.138688998        0.096098158        0.267980944},{    0.193837490        0.104152376        0.251187597},{    0.191234109        0.102445604        0.247556667}
,{    0.139534554        0.097391829        0.272181528},{    0.138160046        0.095961342        0.268163142},{    0.193566203        0.104156011        0.251304806},{    0.190969044        0.102449493        0.247671557}
